time,Model,retomaton,knn,lambda,block_size,k,knn_temp,max_new_tokens,exact_match,partial_match,bleu,notes
2024-12-22_18:25:38,meta-llama/Llama-3.2-1B,True,False,0.25,768,1024,1.0,16,0.0,27.2,1.1906,raw output
2024-12-23_14:18:11,meta-llama/Llama-3.2-1B,True,False,0.25,768,1024,1.0,16,1.1,27.1,3.6306,split('\n')[0]
2024-12-23_14:59:24,meta-llama/Llama-3.2-1B,True,False,0.25,768,1024,1.0,16,15.6,27.1,3.6306,strip()
2024-12-23_15:16:10,meta-llama/Llama-3.2-1B,True,False,0.25,768,1024,1.0,16,12.7,25.9,2.8786,correcting input format
2024-12-23_15:32:34,meta-llama/Llama-3.2-1B,True,False,0.25,786,1024,1.0,16,12.7,25.9,2.8887,block_size
2024-12-23_15:51:35,meta-llama/Llama-3.2-1B,False,False,0.25,786,1024,1.0,16,16.2,35.7,3.1024,base model
2024-12-23_16:10:15,meta-llama/Llama-3.2-1B,False,True,0.25,786,1024,1.0,16,6.5,16.4,1.7011,knn model an input format
2024-12-23_17:12:17,meta-llama/Llama-3.2-1B,False,False,0.25,786,1024,1.0,16,7.6,23.4,1.6659,base model
2024-12-23_17:28:53,meta-llama/Llama-3.2-1B,False,False,0.25,786,1024,1.0,24,16.2,35.7,3.1024,"base model, undo format(remove space after A:), max-tokens = 24"
2024-12-23_18:00:18,meta-llama/Llama-3.2-1B,True,False,0.25,786,1024,1.0,24,12.5,26.2,2.0286,retomaton
2024-12-23_19:32:05,meta-llama/Llama-3.2-1B,False,True,0.25,786,1024,1.0,24,12.5,26.2,2.0286,kNN
2024-12-23_19:53:21,meta-llama/Llama-3.2-1B,True,False,0.25,786,1024,1.0,8,13.3,24.8,5.0945,retomaton
2024-12-23_20:05:09,meta-llama/Llama-3.2-1B,False,False,0.25,786,1024,1.0,8,20.6,33.4,5.8236,base model
2024-12-28_14:51:55,meta-llama/Llama-3.2-1B,True,False,0.25,786,1024,1.0,8,13.3,24.8,5.0945,"base model, undo format(remove space after A:)"
2025-01-01_16:48:02,meta-llama/Llama-3.2-1B,True,False,0.25,1024,1024,1.0,8,22.5,40.8,5.3232,adding context before question 256 chars
2025-01-01_17:06:54,meta-llama/Llama-3.2-1B,False,False,0.25,1024,1024,1.0,8,26.5,46.6,7.5879,base model
2025-01-01_17:27:55,meta-llama/Llama-3.2-1B,False,False,0.25,1024,1024,1.0,8,22.5,43.5,6.5067,adding context before question 128 chars
2025-01-01_17:45:51,meta-llama/Llama-3.2-1B,True,False,0.25,1024,1024,1.0,8,20.0,38.6,5.5974,retomaton
2025-01-01_18:14:26,meta-llama/Llama-3.2-1B,True,False,0.25,1024,1024,1.0,8,19.2,34.0,5.4876,129:512 of context
2025-01-02_08:13:27,meta-llama/Llama-3.2-1B,False,False,0.25,1024,1024,1.0,8,26.8725,46.0878,7.7693,whole validation split
2025-01-02_16:33:43,meta-llama/Llama-3.1-8B,False,False,0.25,1024,1024,1.0,8,40.1,60.4,10.2293,ip_question 1k samples
2025-01-02_23:39:21,meta-llama/Llama-3.1-8B,False,False,0.25,1024,1024,1.0,8,3.42,24.34,2.0386,5k samples
2025-01-03_17:39:30,meta-llama/Llama-3.1-8B,False,False,0.25,1024,1024,1.0,8,3.4,24.08,2.0129,2.5k samples
2025-01-06_00:56:39,meta-llama/Llama-3.1-8B,False,False,0.25,786,1024,1.0,8,65.9,78.1,42.7289,Llama-3.1-8B-evals - 1k
2025-01-06_08:55:10,meta-llama/Llama-3.1-8B,False,False,0.25,786,1024,1.0,8,66.1303,77.6064,38.7316,Llama-3.1-8B-evals - complete
2025-01-06_10:22:24,meta-llama/Llama-3.2-1B,False,False,0.25,786,1024,1.0,8,36.0,43.6,18.108,Llama-3.1-8B-evals - 1k
2025-01-06_12:37:34,meta-llama/Llama-3.2-1B,False,False,0.25,786,1024,1.0,8,38.5904,46.3431,19.7134,Llama-3.1-8B-evals - complete
2025-01-06_14:40:14,meta-llama/Llama-3.2-1B,True,False,0.25,1024,128,1.0,8,0.1,13.6,1.1061,Input: ip_memory
2025-01-06_15:17:29,meta-llama/Llama-3.2-1B,True,False,0.25,1024,128,1.0,8,13.4,24.8,5.1383,Input: ip_question
2025-01-06_15:39:11,meta-llama/Llama-3.2-1B,True,False,0.25,1024,256,1.0,8,13.4,24.8,5.1383,Input: ip_question
2025-01-06_15:57:51,meta-llama/Llama-3.2-1B,False,True,0.25,1024,256,1.0,8,13.4,24.8,5.1383,Input: ip_question
2025-01-06_16:16:13,meta-llama/Llama-3.2-1B,False,True,0.25,1024,512,1.0,8,13.4,24.8,5.1383,Input: ip_question
2025-01-06_16:34:24,meta-llama/Llama-3.2-1B,False,True,0.25,1024,1024,1.0,8,13.4,24.8,5.1383,Input: ip_question
2025-01-06_16:52:25,meta-llama/Llama-3.2-1B,False,True,0.25,1024,2048,1.0,8,13.4,24.8,5.1383,Input: ip_question
2025-01-06_17:22:27,meta-llama/Llama-3.2-1B,False,True,0.25,1024,2048,1.0,8,22.5,40.8,5.3232,Input: ip_memory
