input_prompt,question,correct_answers,output_prediction,processed_answer
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?\nA:""]","What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?","['e460', 'rosette terminal complex', 'cellulosic', 'cellulolysis', 'cellulose ester', 'cellulolytic', 'cellulose', 'cellulolysys', 'tunicin', 'tunicine']"," Cellulose
Q: What is", Cellulose
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who did Jack Ruby shoot in November 1963?\nA:""]",Who did Jack Ruby shoot in November 1963?,"['oswald lone assassin', 'lone nut theory', 'lone gunman', 'lee oswald', 'lee h oswald', 'aj hidell', 'lho', 'l h oswald', 'lho', 'alek j hidell', 'maria oswald porter', 'lee harvey oswald', 'lee harvey oswald photo', 'lee harvey oswalds', 'lee harvey oswald', 'lee harvy oswald', 'lone gunman theory', 'alek james hidell', 'lee harvey ostwald']"," Lee Harvey Oswald
Q: Who was", Lee Harvey Oswald
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Where would you find the metatarsal bone?\nA:""]",Where would you find the metatarsal bone?,"['foot fracture', 'human feet', 'foot muscles', 'pedis', 'dorsum of foot', 'joints of foot', 'plates of meat', 'muscles of feet', 'foot dorsum', 'foot', 'joints of foot', 'articulatio pedis', 'broken foot', 'foot anatomy', 'articulationes pedis', 'foot type', 'insteps', 'articulations of foot', 'human foot', 'foot sweat', 'instep', 'feet', 'foot deformities', 'foot taboo', 'foot fractures']"," In the foot
Q: What is", In the foot
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which organisation uses barbed wire and a candle as its symbol?\nA:""]",Which organisation uses barbed wire and a candle as its symbol?,"['protect human', 'amnesty international uk', 'appeal for amnesty 1961', 'international amnesty', 'international secretariat of amnesty international', 'appeal for amnesty', 'amnesty international', 'amnesty international', 'amnestyorg', 'amnesty international']"," Amnesty International
Q: What is the", Amnesty International
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In June 1991, which late US President was exhumed to test whether his death was caused by arsenic poisoning and not gastrointestinal illness?\nA:""]","In June 1991, which late US President was exhumed to test whether his death was caused by arsenic poisoning and not gastrointestinal illness?","['zachary talor', 'general taylor', 'president taylor', 'zach taylor', '12th president of united states', 'general zachary taylor', 'old rough and ready', 'zachary taylor', 'zachary taylor judicial appointments', 'zachery taylor', 'list of judicial appointments made by zachary taylor', 'zachary tyler', 'taylor administration', 'list of federal judges appointed by zachary taylor', 'zachary taylor', 'presidency of zachary taylor', 'old rough and ready']"," John F. Kennedy
Q: Which", John F. Kennedy
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which Italian City is the setting of Shakespeare's 'Romeo and Juliet'?\nA:""]",Which Italian City is the setting of Shakespeare's 'Romeo and Juliet'?,"['san michele extra', 'unlocodeitvrn', 'commune of verona', 'waelschbern', 'walschbern', 'verona', 'vetona', 'city of verona', 'verona italy', 'welschbern', 'wälschbern', 'verona', 'city of verona']"," Verona
Q: What is the", Verona
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: On T.V. who played Frank Cannon?\nA:""]",On T.V. who played Frank Cannon?,"['bill conrad', 'william conrad', 'william conrad']"," William Conrad
Q: Who was the", William Conrad
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In which TV series would you find an Eagle Transporter\nA:""]",In which TV series would you find an Eagle Transporter,"['alpha1999', 'space1999', 'space 1999', 'woodgrove trilogy', 'space1999', 'alpha 1999', 'space 1999']"," Battlestar Galactica
Q:", Battlestar Galactica
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is Harrison Ford's real name?\nA:""]",What is Harrison Ford's real name?,"['harrison ford actor', 'harrison ford', 'harrison ford', 'harison ford', 'ford harrison']"," Harrison Ford
Q: What is the", Harrison Ford
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: A set of traditional laws called Kanun influence life in what mountainous European country?\nA:""]",A set of traditional laws called Kanun influence life in what mountainous European country?,"['republic of albania', 'etymology of albania', 'albania', 'albanija', 'shqiperia', 'albenia', 'albanie', 'shqiperi', 'albania balkans', 'shquiperia', 'health in albania', 'shqipëri', 'albania', 'shqipëria', 'republika e shqipërisë', 'iso 31661al']"," Albania
Q: Who was the first", Albania
